session_id,user_id,session_date,duration_minutes,device_type
1,1,2025-02-25,,Android
2,1,2024-10-07,21.0,Web
3,1,2024-05-20,14.0,Android
4,1,2024-09-14,8.0,Smart TV
5,1,2024-10-06,30.0,Android
6,1,2024-05-12,43.0,iOS
7,1,2024-01-12,31.0,
8,1,2024-04-18,21.0,Web
9,1,2024-02-16,10.0,Android
10,2,2024-08-21,12.0,iOS
11,2,2024-06-22,10.0,Android
12,3,2025-02-14,15.0,iOS
13,3,2024-01-01,16.0,Web
14,3,2024-01-24,67.0,Android
15,3,2024-01-18,35.0,iOS
16,3,2025-01-28,39.0,Web
17,3,2024-08-06,13.0,Smart TV
18,4,2024-10-10,18.0,iOS
19,4,2024-11-27,35.0,Web
20,4,2025-03-15,8.0,iOS
21,4,2025-02-06,39.0,Android
22,4,2024-08-22,28.0,Android
23,4,2024-11-01,19.0,Android
24,4,2025-01-08,15.0,Android
25,4,2024-09-16,16.0,Web
26,4,2024-01-06,23.0,Android
27,4,2024-10-30,7.0,Android
28,5,2025-03-18,42.0,Android
29,5,2024-06-11,23.0,Android
30,5,2024-08-14,32.0,iOS
31,5,2025-01-03,77.0,Android
32,5,2024-04-02,46.0,Android
33,5,2024-07-28,41.0,Android
34,5,2024-10-08,20.0,Smart TV
35,5,2024-10-14,15.0,Android
36,5,2025-02-15,16.0,Web
37,5,2024-07-15,36.0,iOS
38,5,2024-11-13,19.0,iOS
39,5,2024-03-09,23.0,iOS
40,5,2025-01-06,33.0,Smart TV
41,5,2025-02-19,23.0,Android
42,5,2024-02-27,18.0,Android
43,5,2024-08-02,43.0,iOS
44,6,2024-02-19,21.0,Android
45,6,2025-03-02,17.0,Android
46,6,2025-03-14,16.0,iOS
47,6,2024-03-11,28.0,Android
48,6,2024-07-10,20.0,Android
49,6,2024-01-31,18.0,iOS
50,6,2025-03-30,7.0,Android
51,6,2025-03-25,12.0,Web
52,6,2024-12-27,23.0,Android
53,6,2024-08-13,16.0,iOS
54,7,2024-01-22,8.0,iOS
55,7,2024-04-23,66.0,Android
56,7,2024-01-28,84.0,iOS
57,8,2024-11-28,32.0,Android
58,8,2025-03-31,25.0,iOS
59,8,2025-02-08,32.0,Android
60,8,2024-10-24,36.0,iOS
61,8,2024-03-01,15.0,Web
62,8,2024-02-01,23.0,Android
63,8,2024-08-12,16.0,Android
64,8,2025-01-29,31.0,Android
65,9,2024-01-17,26.0,Android
66,9,2024-09-12,47.0,Web
67,9,2024-01-05,57.0,Web
68,9,2024-05-31,31.0,iOS
69,9,2024-05-11,30.0,iOS
70,9,2024-04-28,41.0,Android
71,9,2024-04-24,45.0,Smart TV
72,9,2025-03-27,27.0,Android
73,9,2024-04-27,30.0,iOS
74,10,2024-11-20,25.0,Android
75,10,2025-03-27,42.0,Android
76,10,2024-01-09,,iOS
77,10,2025-03-14,14.0,Web
78,10,2024-10-08,14.0,Android
79,10,2024-02-06,72.0,Android
80,10,2024-09-07,8.0,Android
81,10,2024-09-15,60.0,
82,10,2024-11-27,22.0,Android
83,10,2024-07-01,29.0,iOS
84,10,2024-03-19,,Android
85,10,2024-04-08,23.0,Web
86,10,2024-10-13,34.0,Android
87,10,2024-06-04,13.0,Android
88,10,2025-01-20,17.0,Android
89,10,2024-11-28,13.0,Web
90,10,2024-10-21,22.0,Android
91,11,2024-10-11,42.0,Smart TV
92,11,2024-07-31,5.0,Android
93,11,2024-09-14,9.0,Android
94,11,2024-11-08,57.0,iOS
95,11,2024-05-29,35.0,iOS
96,11,2024-10-20,12.0,iOS
97,11,2024-10-26,61.0,Android
98,11,2024-04-07,26.0,Android
99,11,2024-02-13,13.0,Android
100,11,2024-03-03,19.0,iOS
101,11,2025-01-14,28.0,Web
102,11,2024-01-23,38.0,iOS
103,11,2024-06-15,19.0,Web
104,11,2024-12-03,10.0,Web
105,11,2024-05-13,36.0,Android
106,11,2024-09-20,125.0,iOS
107,11,2024-05-01,30.0,iOS
108,11,2024-08-21,77.0,iOS
109,12,2025-01-28,24.0,iOS
110,12,2024-09-17,23.0,Android
111,12,2025-02-27,22.0,Android
112,12,2024-11-15,13.0,Android
113,12,2024-03-22,26.0,iOS
114,12,2024-06-14,34.0,Web
115,12,2024-02-01,10.0,Web
116,12,2025-01-02,24.0,Android
117,12,2024-12-14,34.0,Android
118,12,2024-11-11,47.0,Android
119,12,2024-10-27,13.0,Android
120,12,2024-03-18,17.0,Android
121,12,2024-01-02,,Web
122,12,2025-02-20,39.0,Android
123,12,2024-09-19,24.0,Web
124,12,2024-10-21,21.0,Web
125,12,2024-03-23,8.0,iOS
126,12,2024-11-02,43.0,iOS
127,13,2024-01-31,26.0,Web
128,13,2024-02-09,21.0,Web
129,13,2024-08-27,17.0,Android
130,13,2024-08-08,22.0,Android
131,13,2024-09-25,49.0,Web
132,13,2024-08-31,41.0,Android
133,13,2024-12-05,30.0,Android
134,13,2024-04-24,52.0,iOS
135,14,2024-01-29,32.0,Android
136,14,2024-05-01,13.0,iOS
137,14,2024-12-02,19.0,Android
138,14,2025-02-02,18.0,Web
139,14,2024-03-31,7.0,iOS
140,14,2024-03-17,20.0,iOS
141,14,2024-05-15,29.0,Android
142,14,2024-07-23,20.0,Android
143,14,2024-09-05,36.0,iOS
144,15,2025-01-31,107.0,iOS
145,15,2024-11-13,40.0,Web
146,15,2024-01-02,14.0,iOS
147,15,2024-03-26,50.0,
148,15,2025-03-05,25.0,
149,15,2025-03-02,33.0,Android
150,15,2024-10-05,14.0,Web
151,15,2024-02-28,18.0,iOS
152,15,2024-05-20,15.0,iOS
153,15,2025-01-05,17.0,iOS
154,15,2024-06-29,10.0,Android
155,15,2024-03-09,99.0,iOS
